,fall,geolocation,id,mass,name,nametype,recclass,reclat,reclong,year
17,Fell,"{'latitude': '24.41667', 'longitude': '39.51667'}",446,160,Al Rais,Valid,CR2-an,24.416670,39.516670,1957-01-01T00:00:00.000
18,Fell,"{'latitude': '13.66033', 'longitude': '28.96'}",447,700,Al Zarnkh,Valid,LL5,13.660330,28.960000,2001-01-01T00:00:00.000
19,Fell,"{'latitude': '44.11667', 'longitude': '4.08333'}",448,6000,Alais,Valid,CI1,44.116670,4.083330,1806-01-01T00:00:00.000
20,Fell,"{'latitude': '44.65', 'longitude': '11.01667'}",453,2000,Albareto,Valid,L/LL4,44.650000,11.016670,1766-01-01T00:00:00.000
21,Fell,"{'latitude': '2.0', 'longitude': '22.66667'}",454,625,Alberta,Valid,L,2.000000,22.666670,1949-01-01T00:00:00.000
22,Fell,"{'latitude': '45.82133', 'longitude': '6.01533'}",458,252,Alby sur Chéran,Valid,Eucrite-mmict,45.821330,6.015330,2002-01-01T00:00:00.000
23,Fell,"{'latitude': '51.78333', 'longitude': '-1.78333'}",461,700,Aldsworth,Valid,LL5,51.783330,-1.783330,1835-01-01T00:00:00.000
24,Fell,"{'latitude': '36.23333', 'longitude': '37.13333'}",462,3200,Aleppo,Valid,L6,36.233330,37.133330,1873-01-01T00:00:00.000
25,Fell,"{'latitude': '44.88333', 'longitude': '8.75'}",463,908,Alessandria,Valid,H5,44.883330,8.750000,1860-01-01T00:00:00.000
26,Fell,"{'latitude': '50.95', 'longitude': '31.81667'}",465,9251,Alexandrovsky,Valid,H4,50.950000,31.816670,1900-01-01T00:00:00.000
27,Fell,"{'latitude': '45.26667', 'longitude': '10.15'}",466,228000,Alfianello,Valid,L6,45.266670,10.150000,1883-01-01T00:00:00.000
28,Fell,"{'latitude': '42.53333', 'longitude': '-85.88333'}",2276,32000,Allegan,Valid,H5,42.533330,-85.883330,1899-01-01T00:00:00.000
29,Fell,"{'latitude': '26.96667', 'longitude': '-105.31667'}",2278,2000000,Allende,Valid,CV3,26.966670,-105.316670,1969-01-01T00:00:00.000
30,Fell,"{'latitude': '20.74575', 'longitude': '32.41275'}",48915,3950,Almahata Sitta,Valid,Ureilite-an,20.745750,32.412750,2008-01-01T00:00:00.000
31,Fell,"{'latitude': '35.27333', 'longitude': '44.21556'}",2284,6000,Alta'ameem,Valid,LL5,35.273330,44.215560,1977-01-01T00:00:00.000
32,Fell,"{'latitude': '27.66667', 'longitude': '78.25'}",2290,6400,Ambapur Nagla,Valid,H5,27.666670,78.250000,1895-01-01T00:00:00.000
